column,dtype,family
date,datetime64[ns],calendar
dow,int32,calendar
is_weekend,Int64,calendar
month,int64,calendar
week_of_year,int64,calendar
weekday_name,object,calendar
primary_mood,string,categorical
secondary_mood,string,categorical
when_most_productive_decoded,category,categorical
bed_time_minutes,int64,clock
bed_time_minutes_cos,float64,clock
bed_time_minutes_sin,float64,clock
dinner_time_minutes,int64,clock
dinner_time_minutes_cos,float64,clock
dinner_time_minutes_sin,float64,clock
wakeup_time_minutes,int64,clock
wakeup_time_minutes_cos,float64,clock
wakeup_time_minutes_sin,float64,clock
deep_sleep_pct,float64,core_numeric
productivity_pct,float64,core_numeric
rem_sleep_pct,float64,core_numeric
sleep_duration_h,float64,core_numeric
water_drank_l,float64,core_numeric
family_score,float64,interaction_score
friends_score,float64,interaction_score
interaction_total_score,float64,interaction_score
partner_score,float64,interaction_score
deep_sleep_pct_lag1,float64,lag
deep_sleep_pct_lag3,float64,lag
productivity_pct_lag1,float64,lag
productivity_pct_lag3,float64,lag
rem_sleep_pct_lag1,float64,lag
rem_sleep_pct_lag3,float64,lag
sleep_duration_h_lag1,float64,lag
sleep_duration_h_lag3,float64,lag
water_drank_l_lag1,float64,lag
water_drank_l_lag3,float64,lag
breakfast_balanced,Int64,meal_onehot
breakfast_carb_heavy,Int64,meal_onehot
breakfast_fat_heavy,Int64,meal_onehot
breakfast_no_meal,Int64,meal_onehot
breakfast_protein_heavy,Int64,meal_onehot
dinner_balanced,Int64,meal_onehot
dinner_carb_heavy,Int64,meal_onehot
dinner_fat_heavy,Int64,meal_onehot
dinner_no_meal,Int64,meal_onehot
dinner_protein_heavy,Int64,meal_onehot
dinner_time,string,meal_onehot
lunch_balanced,Int64,meal_onehot
lunch_carb_heavy,Int64,meal_onehot
lunch_fat_heavy,Int64,meal_onehot
lunch_no_meal,Int64,meal_onehot
lunch_protein_heavy,Int64,meal_onehot
any_no_interaction,Int64,no_interaction_flag
family_no_interaction,Int64,no_interaction_flag
friends_no_interaction,Int64,no_interaction_flag
partner_no_interaction,Int64,no_interaction_flag
bed_time,string,other
dow_0,Int64,other
dow_1,Int64,other
dow_2,Int64,other
dow_3,Int64,other
dow_4,Int64,other
dow_5,Int64,other
dow_6,Int64,other
interaction_family,object,other
interaction_friends,object,other
interaction_partner,object,other
meditation,Int64,other
morning_shower,Int64,other
nap_today,Int64,other
played_sports,Int64,other
reflection,string,other
sickness,Int64,other
studied_at_home,Int64,other
studied_at_school,Int64,other
wakeup_time,string,other
when_most_productive,int64,other
workout_did,Int64,other
deep_sleep_pct_pct_change_1d,float64,pct_change_1d
productivity_pct_pct_change_1d,float64,pct_change_1d
rem_sleep_pct_pct_change_1d,float64,pct_change_1d
sleep_duration_h_pct_change_1d,float64,pct_change_1d
water_drank_l_pct_change_1d,float64,pct_change_1d
prod_afternoon,Int64,productivity_onehot
prod_evening,Int64,productivity_onehot
prod_morning,Int64,productivity_onehot
prod_none,Int64,productivity_onehot
deep_sleep_pct_roll3,float64,rolling_mean
deep_sleep_pct_roll7,float64,rolling_mean
productivity_pct_roll3,float64,rolling_mean
productivity_pct_roll7,float64,rolling_mean
rem_sleep_pct_roll3,float64,rolling_mean
rem_sleep_pct_roll7,float64,rolling_mean
sleep_duration_h_roll3,float64,rolling_mean
sleep_duration_h_roll7,float64,rolling_mean
water_drank_l_roll3,float64,rolling_mean
water_drank_l_roll7,float64,rolling_mean
deep_sleep_pct_z7,float64,zscore_7d
productivity_pct_z7,float64,zscore_7d
rem_sleep_pct_z7,float64,zscore_7d
sleep_duration_h_z7,float64,zscore_7d
water_drank_l_z7,float64,zscore_7d
